Planet Name,Kepler ID,Planet temp,Planet Radius,Transit duration,Period,a/R,Time of transit,r/R,Age,Stellar Mass,Stellar Radius,Stellar Teff,Logg,KEP Mag,g Mag,r Mag,i Mag,z Mag,KOI Vet Date
Kepler-162 c,7977197,682,3.3,3.653,19.446,28,170.103,0.031,5.6,0.953,0.98,5838,4.44,14.248,14.763,14.211,14.028,13.955,2013-12-19 00:00:00
Kepler-163 b,10019643,847,1.04,3.373,7.811,14.2,132.304,0.011,0.4,0.96,0.85,5736,4.56,14.415,14.921,14.35,14.198,14.129,2013-12-19 00:00:00
Kepler-163 c,10019643,605,2.3,3.899,21.347,27.8,171.735,0.025,0.4,0.96,0.85,5736,4.56,14.415,14.921,14.35,14.198,14.129,2013-12-19 00:00:00
Kepler-164 b,10460984,1199,1.48,1.618,5.035,15.6,132.659,0.012,0.62,1.15,1.1,6361,4.42,14.282,14.634,14.224,14.131,14.088,2014-06-10 00:00:00
Kepler-164 c,10460984,924,2.5,2.987,10.946,26.2,176.72,0.021,0.62,1.15,1.1,6361,4.42,14.282,14.634,14.224,14.131,14.088,2014-06-10 00:00:00
Kepler-164 d,10460984,667,2.5,3.457,28.987,50,134.78,0.021,0.62,1.15,1.1,6361,4.42,14.282,14.634,14.224,14.131,14.088,2014-06-10 00:00:00
Kepler-165 b,10577994,759,2.25,2.742,8.181,19.2,176.699,0.026,10.5,0.79,0.79,5236,4.54,14.802,15.455,14.749,14.522,14.409,2013-12-19 00:00:00
Kepler-165 c,10577994,613,2.49,3.085,15.313,29,171.791,0.029,10.5,0.79,0.79,5236,4.54,14.802,15.455,14.749,14.522,14.409,2013-12-19 00:00:00
Kepler-166 b,11192998,782,2.6,2.85,7.65,14.2,171.971,0.031,0.8,0.879,0.78,5432,4.6,14.701,15.296,14.654,14.446,14.359,2013-12-19 00:00:00
Kepler-166 c,11192998,475,2.7,4.965,34.261,38,183.224,0.032,0.8,0.879,0.78,5432,4.6,14.701,15.296,14.654,14.446,14.359,2013-12-19 00:00:00
Kepler-167 b,3239945,836,1.62,2.495,4.393,9.884,172.868,0.021,13.6,0.713,0.7,4909,4.6,14.023,14.805,13.951,13.688,13.542,2013-12-19 00:00:00
Kepler-167 c,3239945,705,1.54,2.887,7.406,14,134.074,0.02,13.6,0.713,0.7,4909,4.6,14.023,14.805,13.951,13.688,13.542,2013-12-19 00:00:00
Kepler-168 b,4757437,1201,1.56,3.669,4.425,5.42,134.561,0.014,0.5,1.12,1.04,6250,4.45,14.606,15.031,14.561,14.423,14.381,2013-12-19 00:00:00
Kepler-168 c,4757437,838,2.8,5.267,13.193,11.22,175.608,0.025,0.5,1.12,1.04,6250,4.45,14.606,15.031,14.561,14.423,14.381,2013-12-19 00:00:00
Kepler-169 b,5689351,1487,3.35,2.147,3.251,5.8,133.689,0.016,13.8,0.918,1.86,5058,3.86,14.194,14.929,14.123,13.878,13.76,2014-06-10 00:00:00
Kepler-169 c,5689351,1204,3.3,3.012,6.196,8.9,134.709,0.016,13.8,0.918,1.86,5058,3.86,14.194,14.929,14.123,13.878,13.76,2014-06-10 00:00:00
Kepler-169 d,5689351,1091,3.76,2.847,8.348,10.9,136.841,0.018,13.8,0.918,1.86,5058,3.86,14.194,14.929,14.123,13.878,13.76,2014-06-10 00:00:00
Kepler-169 e,5689351,923,6.04,3.18,13.767,15.2,174.81,0.03,13.8,0.918,1.86,5058,3.86,14.194,14.929,14.123,13.878,13.76,2014-06-10 00:00:00
Kepler-169 f,5689351,498,7.32,6.974,87.091,52,187.317,0.036,13.8,0.918,1.86,5058,3.86,14.194,14.929,14.123,13.878,13.76,2014-06-10 00:00:00
Kepler-17 b,10619192,1621,14.82,2.275,1.486,5.67,132.793,0.13,1.03,1.119,1.048,5787,4.45,14.141,14.639,14.078,13.928,13.84,2013-12-19 00:00:00
Kepler-170 b,6266741,901,3.44,3.768,7.931,9.5,169.517,0.03,1.8,1.089,1.035,5679,4.45,14.387,14.948,14.317,14.146,14.067,2013-12-19 00:00:00
Kepler-170 c,6266741,704,3.31,4.438,16.666,15.6,180.203,0.029,1.8,1.089,1.035,5679,4.45,14.387,14.948,14.317,14.146,14.067,2013-12-19 00:00:00
Kepler-171 b,6381846,1012,2.27,2.769,4.167,11.8,169.719,0.025,0.7,0.931,0.83,5632,4.57,14.883,15.455,14.835,14.638,14.544,2013-12-19 00:00:00
Kepler-171 c,6381846,727,2.8,2.665,11.464,23,137.382,0.031,0.7,0.931,0.83,5632,4.57,14.883,15.455,14.835,14.638,14.544,2013-12-19 00:00:00
Kepler-171 d,6381846,480,1.94,5.517,39.595,53,168.148,0.021,0.7,0.931,0.83,5632,4.57,14.883,15.455,14.835,14.638,14.544,2013-12-19 00:00:00
Kepler-172 b,6422155,1236,2.3,2.7,2.94,5.9,169.902,0.022,12.7,0.85,0.97,5540,4.39,14.532,15.093,14.445,14.292,14.155,2013-12-19 00:00:00
Kepler-172 c,6422155,952,2.5,3.315,6.389,9.8,175.475,0.023,12.7,0.85,0.97,5540,4.39,14.532,15.093,14.445,14.292,14.155,2013-12-19 00:00:00
Kepler-172 d,6422155,723,2.3,3.705,14.627,17.1,136.237,0.022,12.7,0.85,0.97,5540,4.39,14.532,15.093,14.445,14.292,14.155,2013-12-19 00:00:00
Kepler-172 e,6422155,540,3,3.936,35.118,30.6,152.121,0.028,12.7,0.85,0.97,5540,4.39,14.532,15.093,14.445,14.292,14.155,2013-12-19 00:00:00
Kepler-173 b,6451936,1232,1.58,2.221,4.264,10.7,133.718,0.013,3.3,1.06,1.08,6117,4.39,14.209,14.658,14.188,14.017,13.953,2013-12-19 00:00:00
Kepler-173 c,6451936,993,2.8,3.133,8.006,16.2,170.503,0.024,3.3,1.06,1.08,6117,4.39,14.209,14.658,14.188,14.017,13.953,2013-12-19 00:00:00
Kepler-174 b,8017703,508,2.02,2.985,13.982,30,181.973,0.03,0,0.602,0.61,4565,4.65,14.287,15.001,14.237,13.981,13.837,2014-06-10 00:00:00
Kepler-174 c,8017703,347,1.47,5.248,44,65,210.759,0.022,0,0.602,0.61,4565,4.65,14.287,15.001,14.237,13.981,13.837,2014-06-10 00:00:00
Kepler-174 d,8017703,195,2.22,8.924,247.35,207,364.161,0.033,0,0.602,0.61,4565,4.65,14.287,15.001,14.237,13.981,13.837,2014-06-10 00:00:00
Kepler-175 b,8022244,802,2.5,4.257,11.904,18.5,178.34,0.024,0.4,1.045,0.95,6029,4.5,14.939,15.408,14.889,14.737,14.685,2013-12-19 00:00:00
Kepler-175 c,8022244,566,2.6,6.748,34.035,37,134.423,0.025,0.4,1.045,0.95,6029,4.5,14.939,15.408,14.889,14.737,14.685,2013-12-19 00:00:00
Kepler-176 b,8037145,861,1.4,2.43,5.433,12.2,138.374,0.016,13.7,0.77,0.79,5166,4.53,14.55,15.237,14.472,14.255,14.105,2014-06-10 00:00:00
Kepler-176 c,8037145,645,2.4,3.555,12.76,21.5,170.303,0.028,13.7,0.77,0.79,5166,4.53,14.55,15.237,14.472,14.255,14.105,2014-06-10 00:00:00
Kepler-176 d,8037145,511,2.7,2.855,25.751,34,136.461,0.032,13.7,0.77,0.79,5166,4.53,14.55,15.237,14.472,14.255,14.105,2014-06-10 00:00:00
Kepler-177 b,8806123,598,2.9,7.531,36.855,34,138.924,0.025,1.8,1.09,1.07,6197,4.42,15,15.416,14.941,14.822,14.754,2013-12-19 00:00:00
Kepler-177 c,8806123,542,7.1,5.246,49.412,41.3,198.232,0.061,1.8,1.09,1.07,6197,4.42,15,15.416,14.941,14.822,14.754,2013-12-19 00:00:00
Kepler-178 b,9941859,880,2.9,3.383,9.577,19.5,176.681,0.025,11.3,0.89,1.05,5674,4.34,14.598,15.143,14.548,14.364,14.278,2014-06-10 00:00:00
Kepler-178 c,9941859,683,3.4,2.454,20.553,33,145.028,0.03,11.3,0.89,1.05,5674,4.34,14.598,15.143,14.548,14.364,14.278,2014-06-10 00:00:00
Kepler-178 d,9941859,407,3.6,5.984,96.672,91,140.193,0.031,11.3,0.89,1.05,5674,4.34,14.598,15.143,14.548,14.364,14.278,2014-06-10 00:00:00
Kepler-179 b,10554999,1056,1.7,2.024,2.736,6.6,171.096,0.021,0.6,0.842,0.738,5289,4.63,14.613,15.241,14.556,14.344,14.249,2013-12-19 00:00:00
Kepler-179 c,10554999,792,2.48,2.028,6.4,11.7,174.024,0.031,0.6,0.842,0.738,5289,4.63,14.613,15.241,14.556,14.344,14.249,2013-12-19 00:00:00
Kepler-18 b,8644288,1120,1.82,2.119,3.505,9.2,133.504,0.017,8.5,0.944,0.978,5385,4.43,13.549,14.16,13.479,13.287,13.187,2013-12-19 00:00:00
Kepler-18 c,8644288,858,4.75,3.453,7.642,15.4,135.407,0.045,8.5,0.944,0.978,5385,4.43,13.549,14.16,13.479,13.287,13.187,2013-12-19 00:00:00
Kepler-18 d,8644288,690,6.01,3.629,14.859,24,128.153,0.056,8.5,0.944,0.978,5385,4.43,13.549,14.16,13.479,13.287,13.187,2013-12-19 00:00:00
Kepler-180 b,11669239,779,1.52,3.69,13.818,25.4,135.029,0.013,9.7,0.91,1.04,5730,4.37,14.35,14.887,14.306,14.12,14.043,2013-12-19 00:00:00
Kepler-180 c,11669239,538,2.6,6.158,41.886,53.2,178.69,0.023,9.7,0.91,1.04,5730,4.37,14.35,14.887,14.306,14.12,14.043,2013-12-19 00:00:00
Kepler-181 b,11823054,1016,1.42,1.99,3.138,9,133.555,0.017,0.5,0.853,0.75,5325,4.62,14.707,15.325,14.645,14.442,14.328,2013-12-19 00:00:00
Kepler-181 c,11823054,918,2.29,2.015,4.302,11.2,173.437,0.028,0.5,0.853,0.75,5325,4.62,14.707,15.325,14.645,14.442,14.328,2013-12-19 00:00:00
Kepler-182 b,12058931,900,2.2,4.777,9.826,14.7,131.419,0.02,0.5,1.1,1.01,6188,4.47,14.896,15.313,14.841,14.717,14.678,2013-12-19 00:00:00
Kepler-182 c,12058931,704,3,6.414,20.684,24.1,170.188,0.027,0.5,1.1,1.01,6188,4.47,14.896,15.313,14.841,14.717,14.678,2013-12-19 00:00:00
Kepler-183 b,4270253,971,2,2.285,5.688,13.2,133.954,0.021,0.4,0.99,0.88,5835,4.54,14.943,15.452,14.876,14.725,14.648,2013-12-19 00:00:00
Kepler-183 c,4270253,764,2.25,3.339,11.637,21.2,178.844,0.023,0.4,0.99,0.88,5835,4.54,14.943,15.452,14.876,14.725,14.648,2013-12-19 00:00:00
Kepler-184 b,7445445,791,2.9,3.597,10.688,11.6,169.932,0.029,1.7,0.97,0.89,5817,4.52,14.338,14.831,14.279,14.126,14.01,2013-12-19 00:00:00
Kepler-184 c,7445445,639,2.4,4.663,20.303,17.9,176.802,0.024,1.7,0.97,0.89,5817,4.52,14.338,14.831,14.279,14.126,14.01,2013-12-19 00:00:00
Kepler-184 d,7445445,567,2.8,4.175,29.023,22.7,198.365,0.028,1.7,0.97,0.89,5817,4.52,14.338,14.831,14.279,14.126,14.01,2013-12-19 00:00:00
Kepler-185 b,8008206,1271,1.28,1.602,1.633,4.9,134.549,0.015,11.9,0.773,0.78,5174,4.55,14.458,15.127,14.393,14.172,14.075,2013-12-19 00:00:00
Kepler-185 c,8008206,545,2.4,3.029,20.729,26.5,185.437,0.028,11.9,0.773,0.78,5174,4.55,14.458,15.127,14.393,14.172,14.075,2013-12-19 00:00:00
Kepler-186 b,8120608,643,1.38,1.978,3.887,7.8,133.329,0.024,13.9,0.546,0.523,4031,4.74,14.625,16.049,14.679,14.015,13.667,2014-06-10 00:00:00
Kepler-186 c,8120608,525,1.64,2.495,7.267,11.9,174.313,0.029,13.9,0.546,0.523,4031,4.74,14.625,16.049,14.679,14.015,13.667,2014-06-10 00:00:00
Kepler-186 d,8120608,429,1.81,2.992,13.343,17.8,176.902,0.032,13.9,0.546,0.523,4031,4.74,14.625,16.049,14.679,14.015,13.667,2014-06-10 00:00:00
Kepler-186 e,8120608,361,1.66,3.551,22.408,25.2,153.8,0.029,13.9,0.546,0.523,4031,4.74,14.625,16.049,14.679,14.015,13.667,2014-06-10 00:00:00
Kepler-186 f,8120608,179.5,1.02,5.41,129.943,178,176.837,0.02,,,0.46,3761,4.793,14.625,16.049,14.679,14.015,13.667,2014-06-10 00:00:00
Kepler-187 b,8193178,1183,1.36,4.494,4.939,6.02,135.945,0.011,6.6,1,1.15,5973,4.32,14.173,14.669,14.129,13.96,13.853,2013-12-19 00:00:00
Kepler-187 c,8193178,916,2.7,5.449,10.64,10.03,179.775,0.021,6.6,1,1.15,5973,4.32,14.173,14.669,14.129,13.96,13.853,2013-12-19 00:00:00
Kepler-188 b,8344004,1571,1.84,1.954,2.062,5.2,133.203,0.015,5.8,1.01,1.12,6008,4.34,14.674,15.135,14.625,14.476,14.464,2013-12-19 00:00:00
Kepler-188 c,8344004,1102,3.2,3.286,5.997,10.6,172.503,0.026,5.8,1.01,1.12,6008,4.34,14.674,15.135,14.625,14.476,14.464,2013-12-19 00:00:00
Kepler-189 b,8355239,664,1.17,3.398,10.4,19.9,141.507,0.015,0.7,0.824,0.72,5220,4.63,14.859,15.515,14.79,14.579,14.462,2013-12-19 00:00:00
Kepler-189 c,8355239,531,2.53,3.672,20.135,31,171.365,0.032,0.7,0.824,0.72,5220,4.63,14.859,15.515,14.79,14.579,14.462,2013-12-19 00:00:00
Kepler-19 b,2571238,781,2.53,3.541,9.287,12.6,135.992,0.027,4,0.906,0.857,5541,4.53,11.898,12.376,11.851,11.694,11.612,2013-12-19 00:00:00
Kepler-19 c,2571238,,,,,,,,,,,,,,,,,,
Kepler-190 b,8616637,1157,1.51,1.849,2.02,5.7,170.068,0.019,4.8,0.802,0.74,5194,4.61,14.137,14.787,14.064,13.858,13.745,2013-12-19 00:00:00
Kepler-190 c,8616637,939,1.7,1.595,3.763,8.6,132.596,0.021,4.8,0.802,0.74,5194,4.61,14.137,14.787,14.064,13.858,13.745,2013-12-19 00:00:00
Kepler-191 b,9020160,676,1.38,2.948,9.94,19.7,131.587,0.017,0.9,0.828,0.73,5235,4.63,14.808,15.46,14.731,14.529,14.408,2013-12-19 00:00:00
Kepler-191 c,9020160,558,2.02,2.833,17.739,29,148.986,0.025,0.9,0.828,0.73,5235,4.63,14.808,15.46,14.731,14.529,14.408,2013-12-19 00:00:00
Kepler-192 b,9146018,739,2.29,3.858,9.927,15.2,175.686,0.026,0.5,0.905,0.8,5524,4.59,14.129,14.663,14.064,13.899,13.814,2013-12-19 00:00:00
Kepler-192 c,9146018,572,2.08,4.785,21.223,25.3,170.374,0.024,0.5,0.905,0.8,5524,4.59,14.129,14.663,14.064,13.899,13.814,2013-12-19 00:00:00
Kepler-193 b,9782691,888,2.46,3.81,11.389,13.7,174.55,0.021,0.3,1.139,1.06,6306,4.44,14.615,15.013,14.568,14.444,14.431,2014-06-10 00:00:00
Kepler-193 c,9782691,541,2.96,6.242,50.699,37,141.318,0.026,0.3,1.139,1.06,6306,4.44,14.615,15.013,14.568,14.444,14.431,2014-06-10 00:00:00
Kepler-194 b,10600261,1510,1.46,2.36,2.092,6.2,133.06,0.013,2.5,1.053,1.04,6107,4.43,14.915,15.369,14.872,14.721,14.63,2014-06-10 00:00:00
Kepler-194 c,10600261,752,2.65,5.012,17.307,25.5,176.982,0.023,2.5,1.053,1.04,6107,4.43,14.915,15.369,14.872,14.721,14.63,2014-06-10 00:00:00
Kepler-194 d,10600261,518,2.43,7.277,52.815,54,164.906,0.021,2.5,1.053,1.04,6107,4.43,14.915,15.369,14.872,14.721,14.63,2014-06-10 00:00:00
Kepler-195 b,10656823,730,2.41,3.444,8.308,9.6,171.172,0.03,0.7,0.843,0.74,5296,4.62,14.813,15.434,14.75,14.546,14.466,2013-12-19 00:00:00
Kepler-195 c,10656823,456,1.85,4.403,34.096,24.6,153.822,0.023,0.7,0.843,0.74,5296,4.62,14.813,15.434,14.75,14.546,14.466,2013-12-19 00:00:00
Kepler-196 b,6587002,569,2.1,3.082,20.74,41,173.217,0.024,14,0.783,0.83,5231,4.5,14.157,14.824,14.082,13.871,13.77,2014-06-10 00:00:00
Kepler-196 c,6587002,432,2.3,5.06,47.427,71,216.561,0.026,14,0.783,0.83,5231,4.5,14.157,14.824,14.082,13.871,13.77,2014-06-10 00:00:00
Kepler-197 b,12068975,1157,1.18,3.841,5.599,6.26,171.471,0.009,11.7,0.864,1.18,5877,4.23,11.811,12.104,11.775,11.685,11.677,2013-12-19 00:00:00
Kepler-197 c,12068975,942,1.4,4.312,10.35,9.43,174.066,0.011,11.7,0.864,1.18,5877,4.23,11.811,12.104,11.775,11.685,11.677,2013-12-19 00:00:00
Kepler-197 d,12068975,822,1.36,5.409,15.678,12.43,179.47,0.011,11.7,0.864,1.18,5877,4.23,11.811,12.104,11.775,11.685,11.677,2013-12-19 00:00:00
Kepler-197 e,12068975,703,1.12,6.469,25.21,17.07,154.416,0.009,11.7,0.864,1.18,5877,4.23,11.811,12.104,11.775,11.685,11.677,2013-12-19 00:00:00
Kepler-198 b,3541946,643,2.37,4.458,17.79,31.2,182.445,0.026,0.4,0.958,0.85,5725,4.56,13.597,14.081,13.543,13.39,13.346,2013-12-19 00:00:00
Kepler-198 c,3541946,457,2.63,3.749,49.567,62,169.547,0.028,0.4,0.958,0.85,5725,4.56,13.597,14.081,13.543,13.39,13.346,2013-12-19 00:00:00
Kepler-199 b,5113822,709,3.8,5.051,23.637,36.8,172.654,0.03,6.7,1.003,1.16,5980,4.31,13.595,14.066,13.55,13.394,13.333,2014-06-10 00:00:00
Kepler-199 c,5113822,500,3.9,6.903,67.094,73.8,146.566,0.031,6.7,1.003,1.16,5980,4.31,13.595,14.066,13.55,13.394,13.333,2014-06-10 00:00:00
Kepler-2 b,10666592,2303,22.3,3.877,2.205,4.681,121.358,0.075,1.98,1.66,2.71,6264,3.79,10.463,10.935,10.49,,,2013-12-19 00:00:00
Kepler-20 b,6850504,1097,1.97,2.497,3.696,8.42,134.501,0.019,9.3,0.901,0.939,5443,4.45,12.498,12.997,12.423,12.284,12.209,2014-06-10 00:00:00
Kepler-20 c,6850504,763,3.17,3.823,10.854,17.3,138.608,0.031,9.3,0.901,0.939,5443,4.45,12.498,12.997,12.423,12.284,12.209,2014-06-10 00:00:00
Kepler-20 d,6850504,397,2.84,7.355,77.612,64.1,164.728,0.028,9.3,0.901,0.939,5443,4.45,12.498,12.997,12.423,12.284,12.209,2014-06-10 00:00:00
Kepler-20 e,6850504,927,0.91,2.772,6.098,11.8,135.934,0.009,9.3,0.901,0.939,5443,4.45,12.498,12.997,12.423,12.284,12.209,2014-06-10 00:00:00
Kepler-20 f,6850504,629,1.03,3.455,19.577,25.6,135.214,0.01,9.3,0.901,0.939,5443,4.45,12.498,12.997,12.423,12.284,12.209,2014-06-10 00:00:00
Kepler-200 b,5941160,1045,2.54,3.192,8.595,15,171.63,0.018,6.3,1.042,1.28,6034,4.24,13.984,14.441,13.944,13.789,13.746,2013-12-19 00:00:00
Kepler-200 c,5941160,987,2.9,1.355,10.222,16.9,135.892,0.021,6.3,1.042,1.28,6034,4.24,13.984,14.441,13.944,13.789,13.746,2013-12-19 00:00:00
Kepler-201 b,5966154,710,2.77,5.894,25.672,19.3,192.097,0.02,2.9,1.177,1.24,6133,4.32,13.004,13.312,12.958,12.872,12.868,2014-06-10 00:00:00
Kepler-201 c,5966154,393,2.55,12.063,151.886,63.1,176.41,0.019,2.9,1.177,1.24,6133,4.32,13.004,13.312,12.958,12.872,12.868,2014-06-10 00:00:00
Kepler-202 b,6020753,813,1.61,2.09,4.069,12,171.018,0.022,13.4,0.683,0.659,4763,4.63,13.872,14.701,13.801,13.517,13.362,2013-12-19 00:00:00
Kepler-202 c,6020753,512,2.05,2.935,16.282,30.2,180.796,0.029,13.4,0.683,0.659,4763,4.63,13.872,14.701,13.801,13.517,13.362,2013-12-19 00:00:00
Kepler-203 b,6062088,1217,2.1,1.935,3.163,10.9,169.641,0.021,0.5,1.01,0.91,5924,4.52,13.989,14.456,13.924,13.789,13.697,2013-12-19 00:00:00
Kepler-203 c,6062088,1018,2.1,2.091,5.371,15.5,172.237,0.021,0.5,1.01,0.91,5924,4.52,13.989,14.456,13.924,13.789,13.697,2013-12-19 00:00:00
Kepler-203 d,6062088,793,1.18,3.445,11.33,25,133.975,0.012,0.5,1.01,0.91,5924,4.52,13.989,14.456,13.924,13.789,13.697,2013-12-19 00:00:00
Kepler-204 b,6347299,810,2.2,3.895,14.401,22.8,174.986,0.019,3.3,1.05,1.07,6098,4.4,13.909,14.324,13.852,13.731,13.646,2013-12-19 00:00:00
Kepler-204 c,6347299,669,1.47,4.73,25.66,33,155.168,0.013,3.3,1.05,1.07,6098,4.4,13.909,14.324,13.852,13.731,13.646,2013-12-19 00:00:00
Kepler-205 b,6425957,795,1.49,1.938,2.756,6.8,170.846,0.024,13.9,0.592,0.562,4303,4.71,13.506,14.649,13.469,13.016,12.748,2013-12-19 00:00:00
Kepler-205 c,6425957,407,1.85,2.973,20.307,26,172.656,0.03,13.9,0.592,0.562,4303,4.71,13.506,14.649,13.469,13.016,12.748,2013-12-19 00:00:00
Kepler-206 b,6442340,1071,1.29,4.109,7.782,12,133.582,0.009,7,1.021,1.27,5986,4.24,13.484,13.944,13.433,13.287,13.214,2013-12-19 00:00:00
Kepler-206 c,6442340,896,1.98,4.797,13.137,17,170.228,0.014,7,1.021,1.27,5986,4.24,13.484,13.944,13.433,13.287,13.214,2013-12-19 00:00:00
Kepler-206 d,6442340,740,1.3,6.234,23.442,25,152.03,0.009,7,1.021,1.27,5986,4.24,13.484,13.944,13.433,13.287,13.214,2013-12-19 00:00:00
Kepler-207 b,6685609,1709,1.17,3.183,1.612,2.96,133.571,0.01,4.1,1.04,1.1,6080,4.37,13.182,13.594,13.129,13.005,12.982,2013-12-19 00:00:00
Kepler-207 c,6685609,1371,1.11,4.081,3.072,4.55,133.302,0.009,4.1,1.04,1.1,6080,4.37,13.182,13.594,13.129,13.005,12.982,2013-12-19 00:00:00
Kepler-207 d,6685609,1102,2.5,4.137,5.868,7,170.324,0.021,4.1,1.04,1.1,6080,4.37,13.182,13.594,13.129,13.005,12.982,2013-12-19 00:00:00
Kepler-208 b,7040629,1126,1.43,3.524,4.229,5.75,170.737,0.013,,0.963,0.972,5845,4.446,13.749,14.302,13.699,13.511,,2013-12-19 00:00:00
Kepler-208 c,7040629,934,1.23,4.076,7.466,8.39,132.788,0.012,,0.963,0.972,5845,4.446,13.749,14.302,13.699,13.511,,2013-12-19 00:00:00
Kepler-208 d,7040629,820,1.17,4.557,11.132,11,134.436,0.011,,0.963,0.972,5845,4.446,13.749,14.302,13.699,13.511,,2013-12-19 00:00:00
Kepler-208 e,7040629,722,1.45,4.27,16.259,14.1,144.535,0.014,,0.963,0.972,5845,4.446,13.749,14.302,13.699,13.511,,2013-12-19 00:00:00
Kepler-209 b,7115785,697,3.32,3.826,16.088,11.35,172.813,0.031,9.3,0.931,1,5524,4.41,13.998,14.536,13.944,13.768,13.685,2013-12-19 00:00:00
Kepler-209 c,7115785,507,4.03,6.703,41.75,21.43,153.839,0.037,9.3,0.931,1,5524,4.41,13.998,14.536,13.944,13.768,13.685,2013-12-19 00:00:00
Kepler-21 b,3632418,1863,1.72,3.411,2.786,6.21,260.837,0.008,3.35,1.36,2.04,6131,3.95,8.224,8.738,8.259,,,2013-12-19 00:00:00
Kepler-210 b,7447200,839,2.56,1.74,2.453,8.3,170.891,0.041,9.6,0.612,0.569,4367,4.71,13.822,14.874,13.756,13.371,13.142,2013-12-19 00:00:00
Kepler-210 c,7447200,566,3.3,2.944,7.973,18.2,171.583,0.053,9.6,0.612,0.569,4367,4.71,13.822,14.874,13.756,13.371,13.142,2013-12-19 00:00:00
Kepler-211 b,7509886,1364,3.52,2.418,4.139,5.56,132.016,0.018,13.9,0.914,1.75,5174,3.91,13.283,13.953,13.217,12.997,12.888,2013-12-19 00:00:00
Kepler-211 c,7509886,1203,3.82,2.397,6.04,7.1,172.594,0.02,13.9,0.914,1.75,5174,3.91,13.283,13.953,13.217,12.997,12.888,2013-12-19 00:00:00
Kepler-212 b,7515212,774,0.94,7.386,16.258,8.6,139.635,0.007,2.5,1.166,1.16,5913,4.37,13.178,13.504,13.111,13.038,,2013-12-19 00:00:00
Kepler-212 c,7515212,618,2.61,9.187,31.805,13.5,190.247,0.021,2.5,1.166,1.16,5913,4.37,13.178,13.504,13.111,13.038,,2013-12-19 00:00:00
Kepler-213 b,8557374,1276,1.14,1.82,2.462,10.4,171.841,0.012,0.4,0.976,0.87,5806,4.55,13.648,14.093,13.577,13.457,13.408,2013-12-19 00:00:00
Kepler-213 c,8557374,1018,2.1,0.883,4.823,16.2,134.437,0.022,0.4,0.976,0.87,5806,4.55,13.648,14.093,13.577,13.457,13.408,2013-12-19 00:00:00
Kepler-214 b,8738735,812,2.16,7.101,15.66,14.9,146.353,0.018,0.23,1.15,1.07,6352,4.44,13.949,14.293,13.907,13.802,13.775,2013-12-19 00:00:00
Kepler-214 c,8738735,661,2.04,7.682,28.78,22.4,193.307,0.017,0.23,1.15,1.07,6352,4.44,13.949,14.293,13.907,13.802,13.775,2013-12-19 00:00:00
Kepler-215 b,8962094,920,1.71,3.171,9.361,21.948,171.976,0.015,6.4,0.977,1.07,5922,4.37,13.58,14.045,13.541,13.38,13.298,2014-06-10 00:00:00
Kepler-215 c,8962094,792,1.57,3.749,14.667,29.609,145.418,0.013,6.4,0.977,1.07,5922,4.37,13.58,14.045,13.541,13.38,13.298,2014-06-10 00:00:00
Kepler-215 d,8962094,617,2.82,2.855,30.864,48.621,172.934,0.024,6.4,0.977,1.07,5922,4.37,13.58,14.045,13.541,13.38,13.298,2014-06-10 00:00:00
Kepler-215 e,8962094,474,1.8,5.631,68.16,82.454,187.038,0.016,6.4,0.977,1.07,5922,4.37,13.58,14.045,13.541,13.38,13.298,2014-06-10 00:00:00
Kepler-216 b,9530945,1008,1.96,4.974,7.693,8.21,176.509,0.017,0.28,1.129,1.05,6278,4.45,13.998,14.372,13.948,13.837,13.79,2013-12-19 00:00:00
Kepler-216 c,9530945,766,2.73,7.025,17.407,14.14,171.007,0.024,0.28,1.129,1.05,6278,4.45,13.998,14.372,13.948,13.837,13.79,2013-12-19 00:00:00
Kepler-217 b,9590976,1320,2.3,4.014,5.375,5.46,170.951,0.016,,1.383,1.356,6653,4.314,13.294,13.683,13.237,13.128,,2013-12-19 00:00:00
Kepler-217 c,9590976,1133,1.83,3.697,8.586,7.46,137.958,0.012,,1.383,1.356,6653,4.314,13.294,13.683,13.237,13.128,,2013-12-19 00:00:00
Kepler-218 b,9597345,1164,1.5,3.176,3.619,8.2,135.438,0.013,6.3,1.019,1.059,5502,4.396,13.967,14.507,13.891,13.735,13.652,2014-06-10 00:00:00
Kepler-218 c,9597345,501,3.19,6.385,44.699,44,174.825,0.028,6.3,1.019,1.059,5502,4.396,13.967,14.507,13.891,13.735,13.652,2014-06-10 00:00:00
Kepler-219 b,9884104,1225,2.58,3.322,4.586,10.1,169.858,0.018,4,1.171,1.31,5788,4.27,13.764,14.174,13.692,13.588,13.537,2013-12-19 00:00:00
Kepler-219 c,9884104,718,3.07,5.771,22.715,29.4,147.295,0.021,4,1.171,1.31,5788,4.27,13.764,14.174,13.692,13.588,13.537,2013-12-19 00:00:00
Kepler-219 d,9884104,561,2.67,5.712,47.904,48,141.979,0.019,4,1.171,1.31,5788,4.27,13.764,14.174,13.692,13.588,13.537,2013-12-19 00:00:00
Kepler-22 b,10593626,250,2.1,7.399,289.862,186,133.698,0.023,9.9,0.828,0.85,5510,4.5,11.664,12.098,11.627,11.478,11.448,2014-06-10 00:00:00
