Planet Name,Kepler ID,Planet temp,Planet Radius,Transit duration,Period,a/R,Time of transit,r/R,Age,Stellar Mass,Stellar Radius,Stellar Teff,Logg,KEP Mag,g Mag,r Mag,i Mag,z Mag,KOI Vet Date
Kepler-113 b,12252424,773,2.07,2.597,4.754,9.9,128.547,0.028,7.2,0.745,0.687,4725,4.64,13.461,14.31,13.399,13.097,12.951,2013-12-19 00:00:00
Kepler-113 c,12252424,627,2.47,2.767,8.925,15.1,139.712,0.033,7.2,0.745,0.687,4725,4.64,13.461,14.31,13.399,13.097,12.951,2013-12-19 00:00:00
Kepler-114 b,10925104,722,1.18,2.491,5.189,13.7,145.363,0.017,8.3,0.709,0.654,4619,4.66,13.738,14.679,13.66,13.334,13.155,2013-12-19 00:00:00
Kepler-114 c,10925104,623,1.6,2.649,8.041,18.4,143.039,0.022,8.3,0.709,0.654,4619,4.66,13.738,14.679,13.66,13.334,13.155,2013-12-19 00:00:00
Kepler-114 d,10925104,549,2.53,2.926,11.776,24,142.704,0.035,8.3,0.709,0.654,4619,4.66,13.738,14.679,13.66,13.334,13.155,2013-12-19 00:00:00
Kepler-115 b,8972058,1540,1.33,1.407,2.404,4.89,134.728,0.01,5.5,1.04,1.19,6069,4.3,13.431,13.87,13.384,13.243,13.2,2013-12-19 00:00:00
Kepler-115 c,8972058,997,2.8,4.167,8.991,11.8,136.736,0.021,5.5,1.04,1.19,6069,4.3,13.431,13.87,13.384,13.243,13.2,2013-12-19 00:00:00
Kepler-116 b,7831264,1170,2.74,3.676,5.969,9.7,137.157,0.022,0.34,1.206,1.15,6495,4.4,13.717,14.047,13.668,13.575,13.557,2013-12-19 00:00:00
Kepler-116 c,7831264,902,2.12,3.204,13.072,16.3,144.435,0.017,0.34,1.206,1.15,6495,4.4,13.717,14.047,13.668,13.575,13.557,2013-12-19 00:00:00
Kepler-117 b,10723750,792,5.74,7.243,18.796,18.1,145.821,0.046,0.68,1.179,1.135,6438,4.4,14.274,14.607,14.213,14.131,14.095,2014-06-10 00:00:00
Kepler-117 c,10723750,568,8.75,10.95,50.791,35.12,135.63,0.071,0.68,1.179,1.135,6438,4.4,14.274,14.607,14.213,14.131,14.095,2014-06-10 00:00:00
Kepler-118 b,6152974,775,1.3,2.928,7.519,19.9,132.523,0.015,13.9,0.77,0.79,5181,4.53,14.711,15.434,14.637,14.4,14.263,2013-12-19 00:00:00
Kepler-118 c,6152974,558,6.1,3.282,20.172,38.4,141.209,0.071,13.9,0.77,0.79,5181,4.53,14.711,15.434,14.637,14.4,14.263,2013-12-19 00:00:00
Kepler-119 b,7132798,1201,3.62,2.626,2.422,6.16,132.94,0.041,0.4,0.918,0.81,5570,4.58,14.236,14.761,14.164,14.011,13.919,2013-12-19 00:00:00
Kepler-119 c,7132798,1000,0.87,3.034,4.125,8.8,133.648,0.01,0.4,0.918,0.81,5570,4.58,14.236,14.761,14.164,14.011,13.919,2013-12-19 00:00:00
Kepler-12 b,11804465,1314,17.6,4.671,4.438,8.133,171.008,0.117,4.01,1.172,1.38,6011,4.23,13.438,13.782,13.374,13.29,13.274,2013-12-19 00:00:00
Kepler-120 b,4249725,639,2.26,2.817,6.313,12.8,132.655,0.035,4.6,0.654,0.592,4533,4.71,14.735,15.714,14.665,14.315,14.1,2013-12-19 00:00:00
Kepler-120 c,4249725,504,1.85,3.501,12.795,20.5,130.765,0.029,4.6,0.654,0.592,4533,4.71,14.735,15.714,14.665,14.315,14.1,2013-12-19 00:00:00
Kepler-121 b,4545187,1025,2.84,1.525,3.177,10.8,134.477,0.035,0.5,0.859,0.75,5350,4.62,14.708,15.317,14.646,14.447,14.318,2013-12-19 00:00:00
Kepler-121 c,4545187,436,2.56,4.016,41.008,60,147.034,0.031,0.5,0.859,0.75,5350,4.62,14.708,15.317,14.646,14.447,14.318,2013-12-19 00:00:00
Kepler-122 b,4833421,1048,1.92,3.869,5.766,10.5,134.017,0.018,0.3,1.07,0.97,6102,4.49,14.247,14.667,14.202,14.067,14.032,2014-06-10 00:00:00
Kepler-122 c,4833421,807,4.7,5.052,12.466,17.5,133.999,0.044,0.3,1.07,0.97,6102,4.49,14.247,14.667,14.202,14.067,14.032,2014-06-10 00:00:00
Kepler-122 d,4833421,674,1.82,4.755,21.587,25.2,142.978,0.017,0.3,1.07,0.97,6102,4.49,14.247,14.667,14.202,14.067,14.032,2014-06-10 00:00:00
Kepler-122 e,4833421,558,1.85,6.793,37.994,36.7,163.006,0.017,0.3,1.07,0.97,6102,4.49,14.247,14.667,14.202,14.067,14.032,2014-06-10 00:00:00
Kepler-122 f,4833421,489,1.79,8.139,56.257,47.7,164.226,0.017,0.3,1.07,0.97,6102,4.49,14.247,14.667,14.202,14.067,14.032,2014-06-10 00:00:00
Kepler-123 b,7219825,770,2.5,4.511,17.232,23,135.092,0.022,0.48,1.13,1.05,6274,4.44,14.061,14.458,14.013,13.891,13.819,2014-06-10 00:00:00
Kepler-123 c,7219825,666,1.41,4.183,26.694,30,144.015,0.012,0.48,1.13,1.05,6274,4.44,14.061,14.458,14.013,13.891,13.819,2014-06-10 00:00:00
Kepler-124 b,11288051,979,0.93,2.341,3.411,8.5,131.573,0.011,0.7,0.841,0.74,5288,4.62,14.139,14.74,14.089,13.881,13.749,2013-12-19 00:00:00
Kepler-124 c,11288051,616,2.23,3.607,13.821,21.5,131.793,0.028,0.7,0.841,0.74,5288,4.62,14.139,14.74,14.089,13.881,13.749,2013-12-19 00:00:00
Kepler-124 d,11288051,470,1.37,4.438,30.951,37,153.841,0.017,0.7,0.841,0.74,5288,4.62,14.139,14.74,14.089,13.881,13.749,2013-12-19 00:00:00
Kepler-125 b,10489206,625,2.59,1.854,4.164,13.7,171.087,0.046,13.5,0.537,0.515,3996,4.74,14.752,16.233,14.871,14.118,13.716,2013-12-19 00:00:00
Kepler-125 c,10489206,560,0.82,1.989,5.774,17.1,132.96,0.015,13.5,0.537,0.515,3996,4.74,14.752,16.233,14.871,14.118,13.716,2013-12-19 00:00:00
Kepler-126 b,8292840,980,1.66,5.034,10.496,8.364,172.79,0.012,4,1.11,1.26,6164,4.28,10.5,10.904,10.514,,,2014-06-10 00:00:00
Kepler-126 c,8292840,765,1.79,5.766,21.87,13.644,140.294,0.013,4,1.11,1.26,6164,4.28,10.5,10.904,10.514,,,2014-06-10 00:00:00
Kepler-126 d,8292840,461,2.89,11.537,100.283,37.66,245.041,0.021,4,1.11,1.26,6164,4.28,10.5,10.904,10.514,,,2014-06-10 00:00:00
Kepler-127 b,9451706,865,1.41,3.426,14.436,18,141.511,0.01,1.38,1.269,1.27,6169,4.33,11.485,11.779,11.422,11.358,11.352,2013-12-19 00:00:00
Kepler-127 c,9451706,683,2.33,6.896,29.392,28.9,209.073,0.017,1.38,1.269,1.27,6169,4.33,11.485,11.779,11.422,11.358,11.352,2013-12-19 00:00:00
Kepler-127 d,9451706,578,2.51,7.036,48.631,40.4,172.546,0.018,1.38,1.269,1.27,6169,4.33,11.485,11.779,11.422,11.358,11.352,2013-12-19 00:00:00
Kepler-128 b,8077137,940,1.13,4.138,15.092,25.3,175.928,0.007,4.2,1.198,1.55,6090,4.13,11.39,11.697,11.315,11.258,11.241,2013-12-19 00:00:00
Kepler-128 c,8077137,820,1.13,5.092,22.795,33,153.492,0.007,4.2,1.198,1.55,6090,4.13,11.39,11.697,11.315,11.258,11.241,2013-12-19 00:00:00
Kepler-129 b,10586004,827,1.96,7.179,15.792,17.03,176.821,0.013,4.09,1.185,1.36,5795,4.24,11.696,12.646,11.817,,,2014-06-10 00:00:00
Kepler-129 c,10586004,476,2.04,9.945,82.2,51.1,208.787,0.014,4.09,1.185,1.36,5795,4.24,11.696,12.646,11.817,,,2014-06-10 00:00:00
