Planet Name,Kepler ID,KOI Name,Alt Name,RA (J2000),Dec (J2000),Planet temp,Planet Radius,Transit duration,Period,Impact Parameter,Inclination,Provenance,a/R,Transit Number,Transit Model,Time of transit,Transit Depth,Semi-major Axis,r/R,r/R err1,Age,Stellar Mass,Stellar Radius,Stellar Teff,Logg,KEP Mag,g Mag,r Mag,i Mag,z Mag,J Mag,H Mag,K Mag,KOI List,Last Update,KOI Vet Date
string,integer,string,string,ra,dec,integer,float,float,float,float,float,string,float,integer,string,float,real,float,float,float,float,float,float,integer,float,float,float,float,float,float,float,float,float,string,string,datetime
Kepler-311 b,10055126,K01608.01,Kepler-311 b,18 48 14.707,+47 05 07.77,985,1.850,4.441,9.176,0.863,84.220,Pinsonneault,8.480,,Mandel and Agol (2002 ApJ 580 171),138.717,205.0,0.089,0.015,3.900e-4,1.950,1.120,1.120,6285,4.380,13.797,14.147,13.726,13.647,13.591,12.751,12.470,12.418,YES,2014-02-26,2014-06-10 00:00:00
Kepler-311 c,10055126,K01608.02,Kepler-311 c,18 48 14.707,+47 05 07.77,764,1.610,5.126,19.738,0.892,86.520,Pinsonneault,14.100,,Mandel and Agol (2002 ApJ 580 171),133.287,150.0,0.148,0.013,6.100e-4,1.950,1.120,1.120,6285,4.380,13.797,14.147,13.726,13.647,13.591,12.751,12.470,12.418,YES,2014-02-26,2014-06-10 00:00:00
Kepler-312 b,6975129,K01628.02,Kepler-312 b,19 53 34.980,+42 27 35.10,1642,0.985,2.517,1.772,0.100,89.000,q1_q16_stellar,5.400,728,mandel-agol_geometric_transit_model,132.084,79.3,0.030,0.008,0.005,,,1.108,6173,4.429,12.949,13.355,12.895,12.775,12.729,11.902,11.664,11.596,YES,2014-02-26,2014-06-10 00:00:00
Kepler-312 c,6975129,K01628.01,Kepler-312 c,19 53 34.980,+42 27 35.10,763,2.850,3.543,19.747,0.787,88.240,SPC,27.800,,Mandel and Agol (2002 ApJ 580 171),147.103,473.0,0.153,0.022,4.300e-4,0.820,1.230,1.192,6197,4.380,12.949,13.355,12.895,12.775,12.729,11.902,11.664,11.596,YES,2014-02-26,2014-06-10 00:00:00
Kepler-313 b,11153121,K01647.01,Kepler-313 b,19 53 10.788,+48 46 31.65,787,1.970,5.963,14.970,0.761,86.520,Pinsonneault,13.000,,Mandel and Agol (2002 ApJ 580 171),134.507,279.0,0.117,0.017,5.000e-4,7.400,0.960,1.080,5880,4.360,14.167,14.647,14.076,13.961,13.807,12.868,12.551,12.517,YES,2014-02-26,2013-12-19 00:00:00
Kepler-313 c,11153121,K01647.02,Kepler-313 c,19 53 10.788,+48 46 31.65,608,1.960,7.253,32.276,0.793,87.660,Pinsonneault,21.600,,Mandel and Agol (2002 ApJ 580 171),149.076,267.0,0.196,0.017,6.900e-4,7.400,0.960,1.080,5880,4.360,14.167,14.647,14.076,13.961,13.807,12.868,12.551,12.517,YES,2014-02-26,2013-12-19 00:00:00
Kepler-314 b,6616218,K01692.02,Kepler-314 b,19 38 41.785,+42 04 32.09,1247,0.840,2.084,2.461,0.020,89.950,SPC,9.100,,Mandel and Agol (2002 ApJ 580 171),133.313,84.0,0.036,0.008,3.300e-4,1.900,1.024,0.951,5501,4.490,12.557,13.126,12.459,12.313,12.205,11.242,10.850,10.778,YES,2014-02-26,2013-12-19 00:00:00
Kepler-314 c,6616218,K01692.01,Kepler-314 c,19 38 41.785,+42 04 32.09,928,2.650,2.722,5.960,0.300,88.810,SPC,16.400,,Mandel and Agol (2002 ApJ 580 171),137.264,809.0,0.065,0.026,6.100e-4,1.900,1.024,0.951,5501,4.490,12.557,13.126,12.459,12.313,12.205,11.242,10.850,10.778,YES,2014-02-26,2013-12-19 00:00:00
Kepler-315 b,7703955,K01707.01,Kepler-315 b,19 52 05.544,+43 21 48.68,382,3.400,8.495,96.101,0.804,89.380,Pinsonneault,56.000,,Mandel and Agol (2002 ApJ 580 171),187.733,1144.0,0.403,0.034,9.400e-4,3.600,0.950,0.910,5773,4.500,15.321,15.883,15.278,15.079,14.936,13.982,13.622,13.581,YES,2014-02-26,2014-06-10 00:00:00
Kepler-315 c,7703955,K01707.02,Kepler-315 c,19 52 05.544,+43 21 48.68,269.3,3.473,9.168,265.470,0.921,89.500,q1_q16_stellar,105.300,5,mandel-agol_geometric_transit_model,151.074,1105.5,0.758,0.037,0.002,,,0.862,5724,4.483,15.321,15.883,15.278,15.079,14.936,13.982,13.622,13.581,YES,2014-02-26,2014-06-10 00:00:00
Kepler-316 b,8230616,K01713.02,Kepler-316 b,19 23 18.245,+44 11 02.79,840,1.320,1.368,2.241,0.830,83.650,Pinsonneault,7.400,,Mandel and Agol (2002 ApJ 580 171),137.821,441.0,0.028,0.022,0.003,13.900,0.587,0.557,4272,4.710,15.224,16.418,15.177,14.712,14.458,13.324,12.681,12.542,YES,2014-02-26,2013-12-19 00:00:00
Kepler-316 c,8230616,K01713.01,Kepler-316 c,19 23 18.245,+44 11 02.79,579,1.410,2.369,6.828,0.740,87.090,Pinsonneault,15.700,,Mandel and Agol (2002 ApJ 580 171),131.786,548.0,0.059,0.023,0.004,13.900,0.587,0.557,4272,4.710,15.224,16.418,15.177,14.712,14.458,13.324,12.681,12.542,YES,2014-02-26,2013-12-19 00:00:00
Kepler-317 b,3967760,K01760.01,Kepler-317 b,19 39 46.531,+39 01 55.41,918,2.000,2.631,5.524,0.670,87.090,Pinsonneault,12.400,,Mandel and Agol (2002 ApJ 580 171),135.621,492.0,0.057,0.021,0.003,11.600,0.816,0.860,5372,4.480,15.377,16.058,15.324,15.085,14.981,14.095,13.722,13.668,YES,2014-02-26,2013-12-19 00:00:00
Kepler-317 c,3967760,K01760.02,Kepler-317 c,19 39 46.531,+39 01 55.41,785,1.700,3.189,8.775,0.620,87.660,Pinsonneault,16.900,,Mandel and Agol (2002 ApJ 580 171),133.703,367.0,0.078,0.018,0.003,11.600,0.816,0.860,5372,4.480,15.377,16.058,15.324,15.085,14.981,14.095,13.722,13.668,YES,2014-02-26,2013-12-19 00:00:00
Kepler-318 b,9909735,K01779.01,Kepler-318 b,19 53 55.877,+46 47 37.04,1299,5.800,2.821,4.663,0.640,86.520,Pinsonneault,10.300,,Mandel and Agol (2002 ApJ 580 171),134.081,1582.0,0.054,0.038,9.500e-4,9.800,0.980,1.390,5812,4.140,13.297,13.809,13.246,13.077,13.029,12.148,11.832,11.766,YES,2014-02-26,2013-12-19 00:00:00
Kepler-318 c,9909735,K01779.02,Kepler-318 c,19 53 55.877,+46 47 37.04,950,5.000,2.743,11.815,0.853,87.660,Pinsonneault,19.200,,Mandel and Agol (2002 ApJ 580 171),133.090,979.0,0.101,0.033,8.500e-4,9.800,0.980,1.390,5812,4.140,13.297,13.809,13.246,13.077,13.029,12.148,11.832,11.766,YES,2014-02-26,2013-12-19 00:00:00
Kepler-319 b,4644952,K01805.03,Kepler-319 b,19 15 14.868,+39 46 14.38,1346,2.950,2.346,4.363,0.856,83.650,Pinsonneault,7.900,,Mandel and Agol (2002 ApJ 580 171),135.231,295.0,0.052,0.018,5.200e-4,10.800,0.960,1.490,5708,4.080,13.828,14.380,13.758,13.591,13.540,12.631,12.315,12.208,YES,2014-02-26,2013-12-19 00:00:00
Kepler-319 c,4644952,K01805.01,Kepler-319 c,19 15 14.868,+39 46 14.38,1160,5.600,2.179,6.941,0.936,84.800,Pinsonneault,10.700,,Mandel and Agol (2002 ApJ 580 171),137.544,893.0,0.070,0.034,9.000e-4,10.800,0.960,1.490,5708,4.080,13.828,14.380,13.758,13.591,13.540,12.631,12.315,12.208,YES,2014-02-26,2013-12-19 00:00:00
Kepler-319 d,4644952,K01805.02,Kepler-319 d,19 15 14.868,+39 46 14.38,697,4.300,4.104,31.782,0.896,88.240,Pinsonneault,29.600,,Mandel and Agol (2002 ApJ 580 171),134.862,590.0,0.194,0.027,7.300e-4,10.800,0.960,1.490,5708,4.080,13.828,14.380,13.758,13.591,13.540,12.631,12.315,12.208,YES,2014-02-26,2013-12-19 00:00:00
Kepler-32 b,9787239,K00952.01,Kepler-32 b,19 51 22.178,+46 34 27.36,569,2.150,2.257,5.901,0.660,87.660,Pinsonneault,16.100,,Mandel and Agol (2002 ApJ 580 171),171.406,1523.0,0.052,0.038,0.003,13.900,0.549,0.524,4061,4.740,15.801,17.251,15.913,15.179,14.797,13.616,12.901,12.757,YES,2013-03-05,2013-12-19 00:00:00
Kepler-32 c,9787239,K00952.02,Kepler-32 c,19 51 22.178,+46 34 27.36,497,1.990,2.412,8.752,0.710,88.240,Pinsonneault,21.000,,Mandel and Agol (2002 ApJ 580 171),170.633,1263.0,0.068,0.035,0.003,13.900,0.549,0.524,4061,4.740,15.801,17.251,15.913,15.179,14.797,13.616,12.901,12.757,YES,2013-03-05,2013-12-19 00:00:00
Kepler-32 d,9787239,K00952.03,Kepler-32 d,19 51 22.178,+46 34 27.36,361,2.490,3.363,22.781,0.710,88.810,Pinsonneault,40.000,,Mandel and Agol (2002 ApJ 580 171),155.202,1964.0,0.129,0.043,0.004,13.900,0.549,0.524,4061,4.740,15.801,17.251,15.913,15.179,14.797,13.616,12.901,12.757,YES,2013-03-05,2013-12-19 00:00:00
Kepler-32 e,9787239,K00952.04,Kepler-32 e,19 51 22.178,+46 34 27.36,714,1.110,1.780,2.896,0.630,86.520,Pinsonneault,10.000,,Mandel and Agol (2002 ApJ 580 171),133.612,412.0,0.033,0.019,0.002,13.900,0.549,0.524,4061,4.740,15.801,17.251,15.913,15.179,14.797,13.616,12.901,12.757,YES,2013-03-05,2013-12-19 00:00:00
Kepler-32 f,9787239,K00952.05,Kepler-32 f,19 51 22.178,+46 34 27.36,1137,0.860,1.074,0.743,0.690,80.210,Pinsonneault,4.000,,Mandel and Agol (2002 ApJ 580 171),133.279,238.0,0.013,0.015,0.001,13.900,0.549,0.524,4061,4.740,15.801,17.251,15.913,15.179,14.797,13.616,12.901,12.757,YES,2013-03-05,2013-10-25 00:00:00
Kepler-320 b,9529744,K01806.03,Kepler-320 b,19 32 51.255,+46 10 30.46,1001,1.046,3.943,8.372,0.752,86.100,q1_q16_stellar,10.900,126,mandel-agol_geometric_transit_model,137.684,85.7,0.083,0.009,0.003,,,1.040,6412,4.440,13.474,13.793,13.433,13.337,13.333,12.546,12.283,12.307,YES,2014-02-26,2013-12-19 00:00:00
