Planet Name,Kepler ID,KOI Name,Alt Name,RA (J2000),Dec (J2000),Planet temp,Planet Radius,Transit duration,Period,Impact Parameter,Inclination,Provenance,a/R,Transit Number,Transit Model,Time of transit,Transit Depth,Semi-major Axis,r/R,r/R err1,Age,Stellar Mass,Stellar Radius,Stellar Teff,Logg,KEP Mag,g Mag,r Mag,i Mag,z Mag,J Mag,H Mag,K Mag,KOI List,Last Update,KOI Vet Date
Kepler-4 b,11853905,K00007.01,Kepler-4 b,19 02 27.678,+50 08 08.70,1386,3.72,4.111,3.214,0.714,80.79,SME,4.486,,Mandel and Agol (2002 ApJ 580 171),123.612,735,0.044,0.027,0.00007,4.7,1.124,1.27,5858,4.28,12.211,12.614,12.135,12.038,11.963,11.122,10.836,10.805,YES,2013-03-05,2013-12-19 00:00:00
Kepler-40 b,10418224,K00428.01,Kepler-40 b,19 47 15.286,+47 31 35.80,1068,7,7.118,6.873,0.641,84.22,Pinsonneault,6.275,,Mandel and Agol (2002 ApJ 580 171),172.518,3788,0.074,0.06,0.00009,0.27,1.15,1.07,6354,4.44,14.588,14.968,14.541,14.424,14.371,13.536,13.294,13.27,YES,2013-03-05,2013-12-19 00:00:00
Kepler-400 b,5272233,K02711.01,Kepler-400 b,19 23 46.677,+40 28 48.15,965,1.76,3.204,9.024,0.67,87.66,Pinsonneault,16.5,,Mandel and Agol (2002 ApJ 580 171),133.539,221,0.086,0.014,0.004,4.9,1.03,1.12,6062,4.35,13.642,14.078,13.586,13.454,13.4,12.566,12.289,12.296,YES,2014-02-26,2013-12-19 00:00:00
Kepler-400 c,5272233,K02711.02,Kepler-400 c,19 23 46.677,+40 28 48.15,779,1.87,3.559,17.341,0.94,85.94,Pinsonneault,13.6,,Mandel and Agol (2002 ApJ 580 171),138.964,170,0.132,0.015,0.003,4.9,1.03,1.12,6062,4.35,13.642,14.078,13.586,13.454,13.4,12.566,12.289,12.296,YES,2014-02-26,2013-12-19 00:00:00
Kepler-401 b,12206313,K02714.01,Kepler-401 b,19 20 19.863,+50 51 48.53,966,1.75,8.428,14.383,0.04,89.95,Pinsonneault,13.2,,Mandel and Agol (2002 ApJ 580 171),140.555,153,0.123,0.011,0.004,3.55,1.2,1.46,6362,4.19,13.312,13.666,13.278,13.16,13.145,12.277,12.065,11.987,YES,2014-02-26,2014-06-10 00:00:00
Kepler-401 c,12206313,K02714.02,Kepler-401 c,19 20 19.863,+50 51 48.53,650,2.1,9.775,47.324,0.05,89.95,Pinsonneault,37,,Mandel and Agol (2002 ApJ 580 171),170.046,227,0.272,0.013,0.007,3.55,1.2,1.46,6362,4.19,13.312,13.666,13.278,13.16,13.145,12.277,12.065,11.987,YES,2014-02-26,2014-06-10 00:00:00
Kepler-402 b,7673192,K02722.03,Kepler-402 b,19 13 28.857,+43 21 16.60,1388,1.14,2.995,4.029,0.3,88.24,Pinsonneault,9.9,,Mandel and Agol (2002 ApJ 580 171),133.77,90,0.053,0.009,0.00027,1.4,1.21,1.23,6534,4.34,13.268,13.567,13.221,13.14,13.127,12.303,12.082,11.993,YES,2014-02-26,2013-12-19 00:00:00
Kepler-402 c,7673192,K02722.01,Kepler-402 c,19 13 28.857,+43 21 16.60,1208,1.43,3.484,6.125,0.26,88.81,Pinsonneault,13.1,,Mandel and Agol (2002 ApJ 580 171),134.934,141,0.07,0.011,0.00027,1.4,1.21,1.23,6534,4.34,13.268,13.567,13.221,13.14,13.127,12.303,12.082,11.993,YES,2014-02-26,2013-12-19 00:00:00
Kepler-402 d,7673192,K02722.04,Kepler-402 d,19 13 28.857,+43 21 16.60,1065,1.3,3.901,8.921,0.3,88.81,Pinsonneault,16.9,,Mandel and Agol (2002 ApJ 580 171),137.496,117,0.09,0.01,0.00032,1.4,1.21,1.23,6534,4.34,13.268,13.567,13.221,13.14,13.127,12.303,12.082,11.993,YES,2014-02-26,2013-12-19 00:00:00
Kepler-402 e,7673192,K02722.02,Kepler-402 e,19 13 28.857,+43 21 16.60,986,1.41,4.113,11.243,0.37,88.81,Pinsonneault,19.7,,Mandel and Agol (2002 ApJ 580 171),136.321,134,0.105,0.01,0.00033,1.4,1.21,1.23,6534,4.34,13.268,13.567,13.221,13.14,13.127,12.303,12.082,11.993,YES,2014-02-26,2013-12-19 00:00:00
Kepler-403 b,9886361,K02732.01,Kepler-403 b,19 19 41.148,+46 44 40.42,1045,1,5.859,7.031,0.26,88.24,Pinsonneault,9,,Mandel and Agol (2002 ApJ 580 171),134.455,92,0.075,0.009,0.003,0.26,1.14,1.06,6303,4.44,12.805,13.129,12.743,12.666,12.635,11.83,11.575,11.537,YES,2014-02-26,2014-06-10 00:00:00
Kepler-403 c,9886361,K02732.03,Kepler-403 c,19 19 41.148,+46 44 40.42,529,1.35,5.417,54.281,0.61,89.38,Pinsonneault,62,,Mandel and Agol (2002 ApJ 580 171),140.716,152,0.293,0.012,0.005,0.26,1.14,1.06,6303,4.44,12.805,13.129,12.743,12.666,12.635,11.83,11.575,11.537,YES,2014-02-26,2014-06-10 00:00:00
Kepler-404 b,9008737,K02768.01,Kepler-404 b,19 05 35.669,+45 20 36.70,712,1.3,2.635,11.829,0.21,89.38,Pinsonneault,34,,Mandel and Agol (2002 ApJ 580 171),137.686,265,0.099,0.015,0.007,0.4,0.925,0.82,5612,4.58,15.228,15.769,15.146,14.995,14.912,13.908,13.527,13.477,YES,2014-02-26,2014-06-10 00:00:00
Kepler-404 c,9008737,K02768.02,Kepler-404 c,19 05 35.669,+45 20 36.70,660,1.28,2.272,14.751,0.61,89.38,Pinsonneault,41,,Mandel and Agol (2002 ApJ 580 171),137.158,226,0.115,0.014,0.006,0.4,0.925,0.82,5612,4.58,15.228,15.769,15.146,14.995,14.912,13.908,13.527,13.477,YES,2014-02-26,2013-10-25 00:00:00
Kepler-405 b,3234843,K03057.02,Kepler-405 b,19 25 38.269,+38 20 24.07,726,2.1,3.633,10.614,0.38,88.81,KIC,21,,Mandel and Agol (2002 ApJ 580 171),140.852,656,0.095,0.023,0.012,,1.02,0.83,5578,4.61,15.855,16.396,15.787,15.623,15.48,14.543,14.172,14.056,YES,2014-02-26,2013-12-19 00:00:00
Kepler-405 c,3234843,K03057.01,Kepler-405 c,19 25 38.269,+38 20 24.07,515,2.7,3.476,29.727,0.02,89.95,KIC,69,,Mandel and Agol (2002 ApJ 580 171),134.662,1157,0.189,0.03,0.015,,1.02,0.83,5578,4.61,15.855,16.396,15.787,15.623,15.48,14.543,14.172,14.056,YES,2014-02-26,2013-12-19 00:00:00
Kepler-406 b,8753657,K00321.01,Kepler-406 b,19 27 23.533,+44 58 05.59,1375,1.5,2.647,2.426,0.373,86.52,SME,6.63,,Mandel and Agol (2002 ApJ 580 171),170.454,183,0.035,0.012,0.00013,9.1,0.987,1.11,5538,4.34,12.52,13.005,12.461,12.312,12.26,11.34,11.035,10.97,YES,2014-01-06,2013-12-19 00:00:00
Kepler-406 c,8753657,K00321.02,Kepler-406 c,19 27 23.533,+44 58 05.59,1107,0.84,2.983,4.623,0.527,87.09,SME,10.18,,Mandel and Agol (2002 ApJ 580 171),132.366,53,0.054,0.007,0.00025,9.1,0.987,1.11,5538,4.34,12.52,13.005,12.461,12.312,12.26,11.34,11.035,10.97,YES,2014-01-06,2013-10-25 00:00:00
Kepler-407 b,11600889,K01442.01,Kepler-407 b,19 04 08.723,+49 36 52.24,1968,1.23,1.285,0.669,0.685,77.35,SME,3.07,,Mandel and Agol (2002 ApJ 580 171),134.12,138,0.015,0.011,0.0002,4.6,1.015,0.996,5476,4.448,12.521,13.046,12.442,12.296,12.235,11.332,10.983,10.911,YES,2014-01-06,2013-12-19 00:00:00
Kepler-407 c,11600889,K01442.10,Kepler-407 c,19 04 08.723,+49 36 52.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,2014-01-06,
Kepler-408 b,10963065,K01612.01,Kepler-408 b,18 59 08.687,+48 25 23.62,1606,0.78,1.189,2.465,0.935,80.79,SME,5.9,,Mandel and Agol (2002 ApJ 580 171),132.678,29,0.036,0.005,0.00015,6,1.055,1.31,6027,4.22,8.769,9.028,8.7,8.658,8.63,7.784,7.539,7.486,YES,2014-01-06,2013-12-19 00:00:00
Kepler-409 b,9955598,K01925.01,Kepler-409 b,19 34 43.008,+46 51 09.94,410,1.12,2.987,68.958,0.76,89.38,SME,117,,Mandel and Agol (2002 ApJ 580 171),179.083,118,0.316,0.011,0.004,11.4,0.88,0.947,5365,4.43,9.439,9.971,9.364,9.211,9.154,8.2,7.838,7.768,YES,2014-01-06,2014-06-10 00:00:00
Kepler-41 b,9410930,K00196.01,Kepler-41 b,19 38 03.179,+45 58 53.90,1401,9.4,2.335,1.856,0.492,85.37,Pinsonneault,5.99,,Mandel and Agol (2002 ApJ 580 171),137.18,10696,0.029,0.096,0.00039,3.5,0.94,0.89,5731,4.51,14.465,14.996,14.41,14.238,14.182,13.262,12.938,12.892,YES,2013-03-05,2013-12-19 00:00:00
